http://catalogue.bnf.fr/	http://gallica.bnf.fr/	images	pp	chars	OCR	topic	titre
ark:/12148/cb34018008t	ark:/12148/bpt6k110089k	low	546	1285593	99.27		Chroniques d'Amadi et de Strambaldi. Première partie : Chronique d'Amadi
ark:/12148/cb34018008t	ark:/12148/bpt6k110090h	low	345	822535	98.49		Chroniques d'Amadi et de Strambaldi. Seconde partie : Chronique de Strambaldi
ark:/12148/cb37564493b	ark:/12148/bpt6k1112446	low	828			chartes	Recueil des chartes de l'abbaye de Cluny. Tome III : 987-1027
ark:/12148/cb37562601x	ark:/12148/bpt6k1145214	low	804	4393001	NC	lettres	Négociations de la France dans le Levant, ou Correspondances, mémoires et actes diplomatiques des ambassadeurs de France à Constantinople et des ambassadeurs, envoyés ou résidents à divers titres à Venise, Raguse, Rome, Malte et Jérusalem, en Turquie, Perse, Géorgie, Crimée, Syrie, Égypte, etc., et dans les États de Tunis, d'Alger et de Maroc. Tome I
ark:/12148/cb37562601x	ark:/12148/bpt6k114522h	low	872	2285060	69.94	lettres	Négociations de la France dans le Levant, ou Correspondances, mémoires et actes diplomatiques des ambassadeurs de France à Constantinople et des ambassadeurs, envoyés ou résidents à divers titres à Venise, Raguse, Rome, Malte et Jérusalem, en Turquie, Perse, Géorgie, Crimée, Syrie, Égypte, etc., et dans les États de Tunis, d'Alger et de Maroc. Tome II
ark:/12148/cb37562601x	ark:/12148/bpt6k114523w	low	1018	5875752	NC	lettres	Négociations de la France dans le Levant, ou Correspondances, mémoires et actes diplomatiques des ambassadeurs de France à Constantinople et des ambassadeurs, envoyés ou résidents à divers titres à Venise, Raguse, Rome, Malte et Jérusalem, en Turquie, Perse, Géorgie, Crimée, Syrie, Égypte, etc., et dans les États de Tunis, d'Alger et de Maroc. Tome III
ark:/12148/cb37562601x	ark:/12148/bpt6k1145248	low	790	3167626	94.63	lettres	Négociations de la France dans le Levant, ou Correspondances, mémoires et actes diplomatiques des ambassadeurs de France à Constantinople et des ambassadeurs, envoyés ou résidents à divers titres à Venise, Raguse, Rome, Malte et Jérusalem, en Turquie, Perse, Géorgie, Crimée, Syrie, Égypte, etc., et dans les États de Tunis, d'Alger et de Maroc. Tome IV
ark:/12148/cb37558548j	ark:/12148/bpt6k203961f	low	756	1939970	94.7 	lettres	Recueil des lettres missives de Henri IV. Tome I : 1562-1584
ark:/12148/cb37558548j	ark:/12148/bpt6k2039636	low	906			lettres	Recueil des lettres missives de Henri IV. Tome III : 1589-1593
ark:/12148/cb37558548j	ark:/12148/bpt6k203964k	low	1102	2888140	94.73	lettres	Recueil des lettres missives de Henri IV. Tome IV : 1593-1598
ark:/12148/cb37558548j	ark:/12148/bpt6k203965z	low	795	2093449	93.13	lettres	Recueil des lettres missives de Henri IV. Tome V : 1599-1602
ark:/12148/cb37558548j	ark:/12148/bpt6k203966b	low	734	1804603	96.14 	lettres	Recueil des lettres missives de Henri IV. Tome VI : 1603-1606
ark:/12148/cb37558548j	ark:/12148/bpt6k203967q	low	974			lettres	Recueil des lettres missives de Henri IV. Tome VII : 1606-1610
ark:/12148/cb37567320k	ark:/12148/bpt6k204021j	low	746	1422370	92.71		Captivité du roi François Ier
ark:/12148/cb375577554	ark:/12148/bpt6k204026f	low	889			lettres	Correspondance administrative sous le règne de Louis XIV, entre le cabinet du roi, les secrétaires d'État, le chancelier de France et les intendants et gouverneurs de province. Tome IV : Travaux publics - Affaires religieuses - Protestants - Sciences, lettres et arts - Pièces diverses
ark:/12148/cb375577554	ark:/12148/bpt6k204027t	low	1062	2169688	99.88	lettres	Correspondance administrative sous le règne de Louis XIV, entre le cabinet du roi, les secrétaires d'État, le chancelier de France et les intendants et gouverneurs de province. Tome I : États provinciaux - Affaires municipales et communales
ark:/12148/cb375577554	ark:/12148/bpt6k2040286	low	1084	2108355	99.94	lettres	Correspondance administrative sous le règne de Louis XIV, entre le cabinet du roi, les secrétaires d'État, le chancelier de France et les intendants et gouverneurs de province. Tome II : Administration de la justice - Police - Galères
ark:/12148/cb375577554	ark:/12148/bpt6k204029k	low	980			lettres	Correspondance administrative sous le règne de Louis XIV, entre le cabinet du roi, les secrétaires d'État, le chancelier de France et les intendants et gouverneurs de province. Tome III : Affaires de finances - Commerce - Industrie
ark:/12148/cb375637708	ark:/12148/bpt6k2081892	low	688	1743083	96.32		Le procès des Templiers. Tome I
ark:/12148/cb375637708	ark:/12148/bpt6k2081900	low	545	1620642	NC		Le procès des Templiers. Tome II
ark:/12148/cb31625900n	ark:/12148/bpt6k209330t	low	190	548262	91.59		Rapports au Ministre sur la collection des documents inédits de l'histoire de France, et sur les actes du Comité des travaux historiques
ark:/12148/cb37562600k	ark:/12148/bpt6k2515d	low	1226	4175791	94.25	chartes	Recueil des monuments inédits de l'histoire du Tiers-Etat. Première série : Chartes, coutumes, actes municipaux, statuts des villes et communes de France. Région du Nord. Tome deuxième contenant les pièces relatives à l'histoire de la ville d'Amiens, depuis le XVe siècle jusqu'au XVIIe
ark:/12148/cb37564493b	ark:/12148/bpt6k28908j	low	916	2308224	94.36	chartes	Recueil des chartes de l'abbaye de Cluny. Tome I : 802-954
ark:/12148/cb37564493b	ark:/12148/bpt6k28909w	low	764			chartes	Recueil des chartes de l'abbaye de Cluny. Tome II : 954-987
ark:/12148/cb37564493b	ark:/12148/bpt6k289103	low	836	2235129	93.88	chartes	Recueil des chartes de l'abbaye de Cluny. Tome IV : 1027-1090
ark:/12148/cb37564493b	ark:/12148/bpt6k28911f	low	852			chartes	Recueil des chartes de l'abbaye de Cluny. Tome V : 1091-1210
ark:/12148/cb37567332k	ark:/12148/bpt6k28912s	low	672	1765307	94.28	chartes	Cartulaire de l'Abbaye de Savigny. Suivi du Petit cartulaire de l'Abbaye d'Ainay. Première partie : Cartulaire de Savigny
ark:/12148/cb37567332k	ark:/12148/bpt6k289134	low	634	1822451	94.05	chartes	Cartulaire de l'Abbaye de Savigny. Suivi du Petit cartulaire de l'Abbaye d'Ainay. Deuxième partie : Cartulaire d'Ainay, tables, etc.
ark:/12148/cb375673228	ark:/12148/bpt6k28915t	low	708			chartes	Cartulaire de l'abbaye de Beaulieu (en Limousin)
ark:/12148/cb37567103f	ark:/12148/bpt6k289165	low	1180			chartes	Cartulaire de l'Abbaye de Redon en Bretagne : [832-1124]
ark:/12148/cb37563395h	ark:/12148/bpt6k29276b	low	592	1546474	94.16	chartes	Cartulaire de l'abbaye de Saint-Bertin. Tome III
ark:/12148/cb37566152d	ark:/12148/bpt6k292781	low	782	1984214	NC		Négociations diplomatiques de la France avec la Toscane. Tome I
ark:/12148/cb37566152d	ark:/12148/bpt6k29279c	low	1140	2744819	NC		Négociations diplomatiques de la France avec la Toscane. Tome II
